Situation;Nivel;Number;Imports;Changed_files;Changes;Deletion;Aditions;Size_body;Create_date;Closed_date;Merge_date;Diff_MergeLastModify;Diff_CreateNow;PR_comments;PR_size_comments;Review_comments;Review_size_comments;Issue_comments;Issue_size_comments;Qtd_labels_pr;Qtd_labels_issue;Commits
Closed;Easy;5475;0;2;11;2;9;894;2017-06-20 04:34:36;2017-06-20 10:28:26;2017-06-20 10:28:26;1596 days 04:05:53;1625 days 15:49:08.220498;5;0;0;0;3;2137;0;3;3
Closed;Easy;5461;0;1;3;0;3;12;2017-06-19 11:04:53;2017-06-21 01:17:54;2017-06-21 01:17:54;1597 days 16:16:45;1626 days 09:18:53.772027;3;0;0;0;3;2158;0;3;1
Closed;Easy;5459;0;4;29;2;27;815;2017-06-19 08:18:58;2017-06-21 01:22:46;2017-06-21 01:22:46;1595 days 13:11:33;1626 days 12:04:51.183996;6;0;0;0;5;3896;0;4;3
Closed;Easy;5457;0;13;95;4;91;363;2017-06-19 02:12:31;2017-06-19 10:51:14;2017-06-19 10:51:14;1597 days 03:43:05;1626 days 18:11:20.702466;3;0;0;0;2;139;0;4;4
Closed;Easy;5452;5;2;29;1;28;231;2017-06-18 01:05:02;2017-06-22 23:17:14;2017-06-22 23:17:13;1536 days 07:30:20;1627 days 19:18:53.616679;14;2737;17;2737;12;6099;1;3;2
Closed;Easy;5450;0;11;86;49;37;562;2017-06-17 21:17:34;2017-06-19 10:40:20;2017-06-19 10:40:20;1617 days 05:11:29;1627 days 23:06:25.597749;2;174;1;174;2;71;0;3;36
Closed;Easy;5449;0;1;34;13;21;324;2017-06-17 20:25:03;2017-06-20 19:44:21;2017-06-20 19:44:21;1071 days 22:11:03;1627 days 23:58:59.407061;4;0;0;0;3;783;0;5;3
Closed;Easy;5435;0;1;2;1;1;220;2017-06-16 06:25:29;2017-06-20 12:35:08;2017-06-20 12:35:08;1589 days 16:35:01;1629 days 13:58:37.109171;4;0;0;0;3;353;0;5;1
Closed;Easy;5433;0;5;41;7;34;102;2017-06-16 04:58:59;2017-06-21 19:54:11;2017-06-21 19:54:10;1620 days 20:05:58;1629 days 15:25:09.829028;9;82;2;82;8;3264;1;3;2
Closed;Easy;5410;0;1;1;0;1;336;2017-06-15 16:31:22;2017-06-15 19:27:22;;;1630 days 03:52:49.559717;3;0;0;0;2;776;0;5;1
Closed;Easy;5390;0;2;14;6;8;132;2017-06-14 23:40:30;2017-06-15 00:27:24;;;1630 days 20:43:44.033328;5;0;0;0;4;702;0;3;2
Closed;Easy;5386;0;3;7;2;5;14;2017-06-14 17:15:03;2017-11-21 00:47:27;;;1631 days 03:09:13.553981;13;0;0;0;11;3303;2;5;1
Closed;Easy;5385;0;2;3;0;3;397;2017-06-14 16:04:21;2017-06-22 18:19:33;2017-06-22 18:19:33;1595 days 23:15:06;1631 days 04:19:58.721499;14;84;2;84;14;3922;1;3;2
