Situation;Nivel;Number;Imports;Changed_files;Changes;Deletion;Aditions;Size_body;Create_date;Closed_date;Merge_date;Diff_MergeLastModify;Diff_CreateNow;PR_comments;PR_size_comments;Review_comments;Review_size_comments;Issue_comments;Issue_size_comments;Qtd_labels;Commits
Closed;Easy;20236;0;3;22;9;13;671;2021-11-12 06:09:19;2021-11-16 23:02:53;2021-11-16 23:02:53;5 days 05:31:52;10 days 09:28:28.805708;2;0;0;0;2;274;1;1
Closed;Easy;20135;0;4;20;16;4;328;2021-11-02 08:58:42;2021-11-03 18:14:02;2021-11-03 18:14:02;18 days 23:20:05;20 days 06:39:08.898709;3;558;4;558;2;109;2;1
Closed;Easy;20053;0;2;16;9;7;374;2021-10-23 17:34:34;2021-10-27 00:52:57;2021-10-27 00:52:57;26 days 16:41:10;29 days 22:03:19.892707;3;1217;7;1217;3;307;1;1
Closed;Easy;20034;9;2;17;9;8;438;2021-10-21 05:15:55;2021-10-21 19:20:38;2021-10-21 19:20:38;31 days 22:50:29;32 days 10:22:01.176706;1;0;0;0;1;24;1;1
Closed;Easy;20025;0;2;22;0;22;111;2021-10-20 21:24:32;2021-10-21 23:33:46;;;32 days 18:13:26.461708;4;0;0;0;3;323;1;5
Closed;Easy;20005;0;1;2;1;1;582;2021-10-19 08:58:25;2021-10-19 19:21:45;2021-10-19 19:21:45;22 days 21:34:05;34 days 06:39:36.281710;1;0;0;0;1;310;1;1
Closed;Easy;19997;0;1;2;0;2;666;2021-10-18 13:36:00;2021-10-26 22:50:56;2021-10-26 22:50:56;9 days 16:21:52;35 days 02:02:04.316727;4;0;0;0;4;1453;1;1
Closed;Easy;19996;0;4;441;0;441;611;2021-10-18 12:06:57;2021-10-22 20:40:45;2021-10-22 20:40:45;30 days 20:53:22;35 days 03:31:11.442742;10;2085;11;2085;9;4142;3;1
Closed;Easy;19991;0;1;9;4;5;514;2021-10-17 19:05:08;2021-10-19 19:23:16;2021-10-19 19:23:16;32 days 21:27:52;35 days 20:33:02.843708;7;0;0;0;7;1296;1;1
Closed;Easy;19972;0;5;25;6;19;1100;2021-10-15 11:09:36;2021-10-15 11:43:50;;;38 days 04:28:38.259790;0;0;0;0;0;0;1;1
Closed;Easy;19949;0;2;21;0;21;541;2021-10-12 00:30:08;2021-10-16 00:17:36;2021-10-16 00:17:36;37 days 04:58:08;41 days 15:08:08.924792;7;447;3;447;6;4765;4;1
Closed;Easy;19945;0;1;1;0;1;273;2021-10-11 14:24:11;2021-10-11 16:06:00;2021-10-11 16:06:00;41 days 19:55:00;42 days 01:14:08.485830;2;0;0;0;2;658;1;1
Closed;Easy;19928;6;1;4;1;3;510;2021-10-07 14:33:20;2021-10-07 16:24:20;2021-10-07 16:24:19;9 days 14:08:31;46 days 01:05:01.753825;2;0;0;0;1;57;4;1
Closed;Easy;20310;0;1;8;4;4;380;2021-11-19 18:29:58;2021-11-19 19:49:07;2021-11-19 19:49:07;0 days 00:00:06;2 days 21:08:25.558826;1;0;0;0;1;25;1;1
Closed;Easy;20236;0;3;22;9;13;671;2021-11-12 06:09:19;2021-11-16 23:02:53;2021-11-16 23:02:53;5 days 05:31:52;10 days 09:29:06.392841;2;0;0;0;2;274;1;1
Closed;Easy;20135;0;4;20;16;4;328;2021-11-02 08:58:42;2021-11-03 18:14:02;2021-11-03 18:14:02;18 days 23:20:05;20 days 06:39:46.024828;3;558;4;558;2;109;2;1
Closed;Easy;20053;0;2;16;9;7;374;2021-10-23 17:34:34;2021-10-27 00:52:57;2021-10-27 00:52:57;26 days 16:41:10;29 days 22:03:56.967829;3;1217;7;1217;3;307;1;1
Closed;Easy;20034;9;2;17;9;8;438;2021-10-21 05:15:55;2021-10-21 19:20:38;2021-10-21 19:20:38;31 days 22:50:29;32 days 10:22:37.856826;1;0;0;0;1;24;1;1
Closed;Easy;20025;0;2;22;0;22;111;2021-10-20 21:24:32;2021-10-21 23:33:46;;;32 days 18:14:02.857827;4;0;0;0;3;323;1;5
Closed;Easy;20005;0;1;2;1;1;582;2021-10-19 08:58:25;2021-10-19 19:21:45;2021-10-19 19:21:45;22 days 21:34:05;34 days 06:40:11.892825;1;0;0;0;1;310;1;1
Closed;Easy;19997;0;1;2;0;2;666;2021-10-18 13:36:00;2021-10-26 22:50:56;2021-10-26 22:50:56;9 days 16:21:52;35 days 02:02:38.879214;4;0;0;0;4;1453;1;1
Closed;Easy;19996;0;4;441;0;441;611;2021-10-18 12:06:57;2021-10-22 20:40:45;2021-10-22 20:40:45;30 days 20:53:22;35 days 03:31:44.844584;10;2085;11;2085;9;4142;3;1
Closed;Easy;19991;0;1;9;4;5;514;2021-10-17 19:05:08;2021-10-19 19:23:16;2021-10-19 19:23:16;32 days 21:27:52;35 days 20:33:35.932674;7;0;0;0;7;1296;1;1
Closed;Easy;19972;0;5;25;6;19;1100;2021-10-15 11:09:36;2021-10-15 11:43:50;;;38 days 04:29:09.832924;0;0;0;0;0;0;1;1
Closed;Easy;19949;0;2;21;0;21;541;2021-10-12 00:30:08;2021-10-16 00:17:36;2021-10-16 00:17:36;37 days 04:58:08;41 days 15:08:40.157377;7;447;3;447;6;4765;4;1
Closed;Easy;19945;0;1;1;0;1;273;2021-10-11 14:24:11;2021-10-11 16:06:00;2021-10-11 16:06:00;41 days 19:55:00;42 days 01:14:39.120885;2;0;0;0;2;658;1;1
Closed;Easy;19928;6;1;4;1;3;510;2021-10-07 14:33:20;2021-10-07 16:24:20;2021-10-07 16:24:19;9 days 14:08:31;46 days 01:05:32.168838;2;0;0;0;1;57;4;1
Closed;Easy;19834;0;2;5;2;3;466;2021-09-24 14:06:30;2021-09-27 15:29:00;;;59 days 01:32:24.573182;12;0;0;0;12;3109;1;1
